variant_id	DosaCNV_score
nssv3442751	0.97271234
nssv3442755	0.80641043
nssv3442756	0.99999994
nssv3442758	0.99805486
nssv3442769	0.0033535957
nssv3442783	1.0
nssv3442787	0.6485131
nssv3442792	0.14576972
nssv3442794	0.43176305
nssv3442797	0.4883302
nssv3442798	0.57630706
nssv3442801	0.001194179
nssv3442810	0.45396012
nssv3442813	0.15662211
nssv3442815	0.007338524
nssv3442820	0.31332242
nssv3442827	0.10134137
nssv3442829	0.20021403
nssv3442840	0.77660966
nssv3442846	0.9987895
nssv3442853	0.11598927
nssv3442855	0.9999315
nssv3442856	0.8620475
nssv3442861	0.124004364
nssv3442876	0.99908566
nssv3442889	0.98177916
nssv3442899	0.07042205
nssv3442916	0.42778283
nssv3442918	0.074136555
nssv3442927	0.0075781345
nssv3442930	0.80853117
nssv3442931	0.99999
nssv3442932	0.99999964
nssv3442933	0.99974936
nssv3442936	0.9999928
nssv3442944	0.8284711
nssv3442947	0.9999207
nssv3442949	0.89344156
nssv3442950	0.09492451
nssv3442952	0.9580413
nssv3442958	0.3865322
nssv3442978	0.99999243
nssv3442986	0.004093945
nssv3443008	0.99998385
nssv3443028	0.0033535957
nssv3443033	0.77821493
nssv3443038	0.8496021
nssv3443040	0.045613527
nssv3443049	0.8661011
nssv3443050	0.9999999
nssv3443051	0.18984115
nssv3443054	0.8121732
nssv3443059	0.8351995
nssv3443071	0.58948696
nssv3443073	0.57630706
nssv3443075	0.99999946
nssv3443077	0.79893076
nssv3443078	0.9942699
nssv3443084	0.99667466
nssv3443085	0.9999488
nssv3443088	0.9999394
nssv3443090	0.8121732
nssv3443095	0.67285025
nssv3443096	0.99994195
nssv3443100	0.069098055
nssv3443103	0.4991091
nssv3443121	0.9998504
nssv3443123	0.43176305
nssv3443126	0.5114222
nssv3443136	0.5774913
nssv3443139	0.8119786
nssv3443143	0.9355779
nssv3443146	0.80641043
nssv3443155	0.989554
nssv3443159	0.98915696
nssv3443178	0.46341455
nssv3443182	0.05674374
nssv3443185	0.08415395
nssv3443200	0.77660966
nssv3443206	0.9623423
nssv3443211	0.99996674
nssv3443213	0.8425612
nssv3443219	0.93418765
nssv3443231	0.15056598
nssv3443258	0.77196723
nssv3443264	0.6546541
nssv3443265	0.9971123
nssv3443266	0.996889
nssv3443276	0.864611
nssv3443286	0.486553
nssv3443290	0.3485152
nssv3443308	0.57630706
nssv3443311	0.52588683
nssv3443312	0.9746258
nssv3443329	0.0021389127
nssv3443336	0.0031126142
nssv3443339	0.9505014
nssv3443340	0.9997279
nssv3443343	0.33302665
nssv3443344	0.8886297
nssv3443346	0.894053
nssv3443348	1.0
nssv3443351	0.9999999
nssv3443360	0.82637036
nssv3443366	0.7443776
nssv3443371	0.0042973757
nssv3443373	0.71090806
nssv3443379	0.2843336
nssv3443380	0.999955
nssv3443386	0.109083235
nssv3443390	0.93418765
nssv3443392	0.36236203
nssv3443399	0.08290815
nssv3443403	0.0053574443
nssv3443417	0.22288209
nssv3443420	0.005840242
nssv3443427	0.8818517
nssv3443430	0.48277277
nssv3443436	0.971012
nssv3443439	0.10755241
nssv3443441	0.57630706
nssv3443445	0.06773794
nssv3443446	0.9999918
nssv3443450	0.0010480285
nssv3443458	0.870295
nssv3443459	0.99999434
nssv3443465	0.05629021
nssv3443467	0.79877555
nssv3443468	0.10134137
nssv3443475	0.009882569
nssv3443482	0.8287629
nssv3443483	0.9371846
nssv3443486	0.5664747
nssv3443504	0.7536464
nssv3443505	0.36732256
nssv3443512	1.0
nssv3443529	0.16981399
nssv3443530	0.99971735
nssv3443533	0.9995406
nssv3443534	0.9613733
nssv3443537	0.9994784
nssv3443544	0.9474996
nssv3443557	0.62195003
nssv3443574	0.99134904
nssv3443576	0.96084917
nssv3443592	0.19214952
nssv3443599	0.57630706
nssv3443600	0.8257227
nssv3443603	1.0
nssv3443611	0.9943385
nssv3443618	0.8627228
nssv3443622	0.41899598
nssv3443624	0.014587283
nssv3443628	0.28455865
nssv3443642	0.98008543
nssv3443643	0.759617
nssv3443647	0.9713415
nssv3443658	0.999936
nssv3443663	0.012074947
nssv3443674	0.34583604
nssv3443675	0.9503178
nssv3443680	0.99860615
nssv3443689	0.99998724
nssv3443697	0.34904265
nssv3443698	0.02224052
nssv3443700	0.8627228
nssv3443702	0.10134137
nssv3443703	0.072419465
nssv3443706	0.99999756
nssv3443707	0.29850936
nssv3443712	0.45396012
nssv3443722	0.016827345
nssv3443736	0.00427109
nssv3443739	0.99999493
nssv3443743	0.99999577
nssv3443748	0.045613527
nssv3443756	0.33367586
nssv3443764	0.9734112
nssv3443769	0.97891605
nssv3443772	0.1327318
nssv3443773	0.97891605
nssv3443775	0.9510789
nssv3443780	0.005367279
nssv3443783	0.3029616
nssv3443785	0.4260099
nssv3443786	0.012106359
nssv3443788	0.86936915
nssv3443799	0.99977666
nssv3443814	0.9967302
nssv3443820	0.011281788
nssv3443831	0.9993666
nssv3443849	0.06336248
nssv3443853	0.09066635
nssv3443865	0.86323386
nssv3443873	0.9986479
nssv3443875	0.9134962
nssv3443884	0.18506217
nssv3443891	0.39927942
nssv3443893	0.7788356
nssv3443901	0.2727722
nssv3443909	0.20495582
nssv3443913	0.99667853
nssv3443916	0.43742102
nssv3443931	1.0
nssv3443937	0.73303986
nssv3443939	0.38335466
nssv3443940	0.99990207
nssv3443943	0.03003484
nssv3443958	0.9931673
nssv3443961	0.15627325
nssv3443965	0.9994803
nssv3443973	0.999999
nssv3443975	0.74189115
nssv3443984	0.8121732
nssv3443989	0.8118458
nssv3444007	0.5114222
nssv3444012	0.12629783
nssv3444021	0.9999997
nssv3444031	0.8903241
nssv3444035	0.24194229
nssv3444045	0.98752373
nssv3444054	0.9999999
nssv3444055	0.5114222
nssv3444063	0.38215804
nssv3444073	0.06426573
nssv3444089	0.81442666
nssv3444100	0.06742549
nssv3444101	0.335276
nssv3444103	0.0032665133
nssv3444106	0.94212955
nssv3444119	0.60978323
nssv3444123	0.006059408
nssv3444130	0.17998183
nssv3444134	0.8980556
nssv3444156	0.7218538
nssv3444159	0.10134137
nssv3444167	0.23617882
nssv3444171	0.99982417
nssv3444173	0.7594904
nssv3444183	0.15627325
nssv3444188	0.9618532
nssv3444191	0.20495582
nssv3444194	0.99923027
nssv3444203	0.80641043
nssv3444206	0.9999619
nssv3444207	0.0591259
nssv3444208	0.0031126142
nssv3444209	0.2931825
nssv3444223	0.9999999
nssv3444232	1.0
nssv3444234	0.18171394
nssv3444235	0.99999994
nssv3444238	0.9994803
nssv3444241	0.06426573
nssv3444242	0.8636712
nssv3444243	0.22735757
nssv3444244	0.055805147
nssv3444245	0.122908235
nssv3444247	0.9999997
nssv3444250	0.99973804
nssv3444251	0.39294225
nssv3444261	0.065613985
nssv3444270	0.09807986
nssv3444281	0.19010752
nssv3444283	0.859246
nssv3444287	0.80467266
nssv3444298	0.99999994
nssv3444301	0.93418765
nssv3444315	0.30955148
nssv3444342	0.012583494
nssv3444368	0.38079286
nssv3444378	0.9999984
nssv3444389	0.1880399
nssv3444400	0.99896824
nssv3444406	0.33937478
nssv3444407	0.53868544
nssv3444409	0.99999994
nssv3444415	1.0
nssv3444421	0.09576017
nssv3444426	0.998771
nssv3444443	0.9909835
nssv3444451	0.20021403
nssv3444465	0.14435548
nssv3444484	0.9962277
nssv3444489	0.21724218
nssv3444491	0.011304438
nssv3444502	0.94082296
nssv3444528	0.09576017
